empresa,segmento,comuna,url,dominio
SCHENKER CHILE S.A,LOGISTICA,Pudahuel,http://www.dbschenker.com/cl-es,dbschenker.com
SC Johnson - DHL Supply Chain,LOGISTICA,Lampa,http://www.scjohnson.com/,scjohnson.com
Centro de Distribución Cencosud Jumbo/Santa Isabel,LOGISTICA,Pudahuel,http://www.cencosud.com/,cencosud.com
Centro de Distribución El Peñón Walmart,LOGISTICA,San Bernardo,https://www.walmartchile.cl/,walmartchile.cl
Centro de Distribución Ripley Simpson,LOGISTICA,San Bernardo,http://www.ripley.cl/,ripley.cl
OxfordBikes S.A (Centro de Distribución),LOGISTICA,San Bernardo,http://www.oxfordstore.cl/,oxfordstore.cl
Transportes Casablanca,LOGISTICA,San Bernardo,http://www.tcasablanca.cl/,tcasablanca.cl
Transportes Vega Morelli,LOGISTICA,Calera de Tango,http://www.vegamorelli.cl/,vegamorelli.cl
Echeverria Izquierdo Montajes Industriales,LOGISTICA,San Bernardo,http://ei.cl/,ei.cl
inex centro distribucion,LOGISTICA,San Bernardo,http://inexchile.cl/,inexchile.cl
AMM (Centro de Servicio de Distribución de la Iglesia),LOGISTICA,Providencia,https://store.churchofjesuschrist.org/,store.churchofjesuschrist.org
Tilicura,LOGISTICA,Quinta Normal,http://www.tilicura.cl/,tilicura.cl
Distribuidora de Alimentos Baggio En Barrio Italia,LOGISTICA,Providencia,https://alimentosbaggio.cl/,alimentosbaggio.cl
Dulconoroma,LOGISTICA,Pudahuel,http://www.dulconoroma.cl/,dulconoroma.cl
Empanadas Los Gansos,LOGISTICA,Estación Central,http://www.losgansos.cl/,losgansos.cl
Aguas Kronos,LOGISTICA,Estación Central,https://aguaskronos.cl/,aguaskronos.cl
Distribuidora Nico,LOGISTICA,Pudahuel,http://www.distribuidoranico.cl/,distribuidoranico.cl
CyC Cargo Santiago,LOGISTICA,Quinta Normal,https://www.cyccargo.cl/,cyccargo.cl
Zeke Hobby's - Centro de envíos - Lo Prado,LOGISTICA,Lo Prado,https://zekehobbys.cl/,zekehobbys.cl
JCargo transporte y logística,LOGISTICA,Santiago,https://www.jcargo.cl/,jcargo.cl
Transportes Marexpress,LOGISTICA,Cerro Navia,http://www.transportesmarexpress.cl/,transportesmarexpress.cl
Agurto Logística y Distribución,LOGISTICA,Pudahuel,http://www.agurto.cl/,agurto.cl
Bodega Tuporcelanato.cl Venta y Distribución,LOGISTICA,Pudahuel,https://tuporcelanato.cl/,tuporcelanato.cl
BOMIGROUP CHILE,LOGISTICA,Pudahuel,http://bomigroup.com/,bomigroup.com
World Courier de Chile,LOGISTICA,Pudahuel,https://www.worldcourier.com/locations,worldcourier.com
Bodegas Cimenta - Lo Boza,LOGISTICA,Pudahuel,http://www.bodegascimenta.cl/,bodegascimenta.cl
Drogueria Hofmann Sac,FARMACEUTICA,Renca,http://www.hofmann.cl/,hofmann.cl
Sudamérica Comercial S.A. químicos.,FARMACEUTICA,Renca,http://www.sudamerica.cl/,sudamerica.cl
ImsiPharma SPA.,FARMACEUTICA,Renca,http://www.imsipharma.cl/,imsipharma.cl
Farmaceutica Caribean Ltda.,FARMACEUTICA,Renca,http://www.dcf.cl/,dcf.cl
Plantae Labs,FARMACEUTICA,Renca,https://plantaelabs.com/,plantaelabs.com
QUIMICK SPA,FARMACEUTICA,Renca,http://www.quimick.cl/,quimick.cl
Laboratorios Bellcos Ltda,FARMACEUTICA,Renca,http://www.bellcos.cl/,bellcos.cl
Pharmalan SPA,FARMACEUTICA,Quilicura,http://www.pharmalan.cl/,pharmalan.cl
Laboratorio Novofarma Service S.A.,FARMACEUTICA,Quilicura,http://www.novofarma.com/,novofarma.com
Laboratorio Pharma Isa Ltda.,FARMACEUTICA,Quilicura,http://www.pharmaisa.cl/,pharmaisa.cl
Drag Pharma,FARMACEUTICA,Quilicura,http://www.dragpharma.cl/,dragpharma.cl
Laboratorio Petrizzio Sa,FARMACEUTICA,Quilicura,https://petrizzio.cl/,petrizzio.cl
Eurofarma Chile,FARMACEUTICA,Quilicura,http://www.eurofarma.cl/,eurofarma.cl
Productos Químicos Chile,FARMACEUTICA,Conchalí,https://productosquimicos.cl/,productosquimicos.cl
comercial ethos,FARMACEUTICA,Conchalí,http://www.ethoschile.cl/,ethoschile.cl
Quimica Industrial Chile,FARMACEUTICA,Conchalí,https://quimicaindustrial.cl/,quimicaindustrial.cl
Milab,FARMACEUTICA,Independencia,http://www.milab.cl/,milab.cl
Abbott Laboratories de Chile,FARMACEUTICA,Huechuraba,http://www.abbott.com/,abbott.com
Vital and Young S.p.A.,FARMACEUTICA,Huechuraba,https://vay.cl/,vay.cl
Laboratorio Condecal,FARMACEUTICA,Huechuraba,http://condecal.cl/,condecal.cl
Indfar,FARMACEUTICA,Huechuraba,https://indfar.com/,indfar.com
Meki - Farmacia a domicilio,FARMACEUTICA,Huechuraba,https://farmaciameki.cl/,farmaciameki.cl
CROMTEK,FARMACEUTICA,Huechuraba,http://www.cromtek.cl/,cromtek.cl
GSK Chile,FARMACEUTICA,Recoleta,https://www.gsk.com/en-gb/locations/chile/,gsk.com
MLE Laboratorios,FARMACEUTICA,Recoleta,http://www.mlelab.cl/,mlelab.cl
WINPHARM,FARMACEUTICA,Pudahuel,http://www.winpharm.cl/,winpharm.cl
Analisis Fisico Quimicos Y Microbiologicos M. Moll,FARMACEUTICA,Pudahuel,http://www.analisismmoll.cl/,analisismmoll.cl
Laboratorio Internacional Pharmacorp Sbo S.A,FARMACEUTICA,Pudahuel,http://www.pharmacorp.cl/,pharmacorp.cl
Proquimsa S.A,FARMACEUTICA,Pudahuel,http://www.proquimsa.cl/,proquimsa.cl
