Empresa,comuna_busqueda,categoryName,address,phone,website,totalScore,reviewsCount,lat,lng,url
Drogueria Hofmann Sac,Renca,Farmacia,"Los Gobelinos 2507, 8641151 Santiago, Renca, Región Metropolitana, Chile",+56 2 2435 6000,http://www.hofmann.cl/,3.2,26,-33.4215636,-70.6779268,https://www.google.com/maps/search/?api=1&query=Drogueria%20Hofmann%20Sac&query_place_id=ChIJhZiBIjHEYpYRJCzCpEFYBmQ
Sudamérica Comercial S.A. químicos.,Renca,Comercio,"Cam. Lo Ruiz 5100, 8640002 Renca, Región Metropolitana, Chile",+56 2 2566 7000,http://www.sudamerica.cl/,4.6,12,-33.386781,-70.6927932,https://www.google.com/maps/search/?api=1&query=Sudam%C3%A9rica%20Comercial%20S.A.%20qu%C3%ADmicos.&query_place_id=ChIJzekQmYXFYpYRhF0wOU0tVQw
ImsiPharma SPA.,Renca,"Tienda de comestibles, periódicos y medicamentos","Av. Ventisquero 1204, Renca, Región Metropolitana, Chile",+56 2 2235 1663,http://www.imsipharma.cl/,4,2,-33.4043218,-70.7664401,https://www.google.com/maps/search/?api=1&query=ImsiPharma%20SPA.&query_place_id=ChIJc_8NfIfFYpYR_lXMGEt2A1s
Farmaceutica Caribean Ltda.,Renca,Médico,"Av, Luis Alberto Cruz 1165, 8661521 Renca, Región Metropolitana, Chile",+56 2 2663 9300,http://www.dcf.cl/,5,6,-33.4091803,-70.764297,https://www.google.com/maps/search/?api=1&query=Farmaceutica%20Caribean%20Ltda.&query_place_id=ChIJBcaxcwDBYpYRoh53Y4mA_34
Laboratorios SAVAL S.A.,Renca,Laboratorio farmacéutico,"Av. Pdte. Eduardo Frei Montalva 4600, 8640002 Renca, Región Metropolitana, Chile",+56 2 2707 3000,,3.2,33,-33.3898695,-70.6902983,https://www.google.com/maps/search/?api=1&query=Laboratorios%20SAVAL%20S.A.&query_place_id=ChIJDaWQxJTGYpYRrFZj50dBeoM
Plantae Labs,Renca,Empresa de biotecnología,"Av. Ventisquero 1111, OF.48, Renca, Región Metropolitana, Chile",,https://plantaelabs.com/,4.4,7,-33.408308,-70.766103,https://www.google.com/maps/search/?api=1&query=Plantae%20Labs&query_place_id=ChIJ_zzYaT_BYpYRVibFv50Lupc
QUIMICK SPA,Renca,Oficinas de empresa,"Pto. Montt 3734, 8640275 Renca, Región Metropolitana, Chile",+56 2 2569 7541,http://www.quimick.cl/,4.1,10,-33.3938658,-70.6966462,https://www.google.com/maps/search/?api=1&query=QUIMICK%20SPA&query_place_id=ChIJYfIgg77GYpYRkI6mJe4sXTk
Laboratorios Bellcos Ltda,Renca,Laboratorio,"Av. Pdte. Eduardo Frei Montalva 4500, Quilicura, Renca, Región Metropolitana, Chile",+56 2 2736 1083,http://www.bellcos.cl/,4.5,26,-33.3903649,-70.6901322,https://www.google.com/maps/search/?api=1&query=Laboratorios%20Bellcos%20Ltda&query_place_id=ChIJ6-A5HEzHYpYRGqFNn7Pg9_Q
Pharmalan SPA,Quilicura,Compañía farmacéutica,"Av. Pdte. Eduardo Frei Montalva 7070, 8700000 Quilicura, Región Metropolitana, Chile",+56 9 3323 3424,http://www.pharmalan.cl/,1,1,-33.3686716,-70.699661,https://www.google.com/maps/search/?api=1&query=Pharmalan%20SPA&query_place_id=ChIJMdTB23LHYpYRi3tL0gWLYb8
Laboratorio Novofarma Service S.A.,Quilicura,Laboratorio,"Carr. Gral. San Martín 7600, 8710023 Quilicura, Región Metropolitana, Chile",+56 2 2620 9900,http://www.novofarma.com/,4.6,12,-33.3554334,-70.69293,https://www.google.com/maps/search/?api=1&query=Laboratorio%20Novofarma%20Service%20S.A.&query_place_id=ChIJk8IHHYDHYpYRyX_qu8cAR2w
