negocio,contacto,puesto,telefono,correo,sitio_web,instagram,linkedin,ciudad,rating,resenas,senal_de_calificacion,fuente,fecha
"KAR Logistics Noviciado","sin dato","sin dato","sin dato","info@kar-logistics.com","http://www.kar-logistics.com/","sin dato","sin dato","Pudahuel",4.3,60,"Rubro logistica/almacenaje (categoria Google: Almacen), ubicado en corredor industrial de Pudahuel dentro de RM, rating y reseñas superan el minimo del perfil","compass/crawler-google-places (Apify) - busqueda 'operador logistico'","2026-07-28"
"SCHENKER CHILE S.A","sin dato","sin dato","sin dato","sin dato","http://www.dbschenker.com/cl-es","sin dato","sin dato","Pudahuel",4.2,54,"Operador logistico multinacional (DB Schenker) con bodega propia en Pudahuel (categoria Google: Bodega), RM, rating y reseñas cumplen","compass/crawler-google-places (Apify) - busqueda 'operador logistico'","2026-07-28"
"SC Johnson - DHL Supply Chain","sin dato","sin dato","+56 2 2406 4544","sin dato","http://www.scjohnson.com/","https://www.instagram.com/scj","https://www.linkedin.com/company/scjohnson","Lampa",4.3,39,"Bodega de distribucion operada por DHL Supply Chain (3PL) para SC Johnson en corredor industrial de Lampa, RM. OJO: para contactar al decisor de pallets el interlocutor real es DHL Supply Chain (operador), no SC Johnson (dueño de la carga) - las redes encontradas son de SC Johnson corporativo, no de la bodega","compass/crawler-google-places (Apify) - busqueda 'operador logistico'","2026-07-28"
"TANDEM S.A","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","Estación Central",4.2,79,"DUDOSO: rubro transporte y ubicacion en RM cumplen, rating/reseñas cumplen, pero sin sitio web ni redes verificables - no se puede confirmar tamaño de empresa ni bodega propia, requiere verificacion manual antes de contactar","compass/crawler-google-places (Apify) - busqueda 'operador logistico'","2026-07-28"
"Centro Distribución Ideal S.A. (CEDIS)","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","Quilicura",4.5,17,"Centro de distribucion propio de empresa real (Ideal), ubicado en Quilicura dentro de RM, rating y reseñas superan el minimo del perfil","compass/crawler-google-places (Apify) - busqueda 'centro de distribución'","2026-07-28"
"Centro Distribución Vespucio","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","Pudahuel",4.4,250,"Categoria Google explicita Bodega/Almacen, corredor industrial de Pudahuel en RM, 250 reseñas confirman actividad real","compass/crawler-google-places (Apify) - busqueda 'centro de distribución'","2026-07-28"
"Centro de Distribución Cencosud Jumbo/Santa Isabel","sin dato","sin dato","sin dato","sin dato","http://www.cencosud.com/","sin dato","https://www.linkedin.com/company/cencosud-s-a-","Pudahuel",4.1,448,"Supermercado/retail con bodega de distribucion propia (Cencosud/Jumbo), coincide directo con señal de calificacion de tu perfil, 448 reseñas","compass/crawler-google-places (Apify) - busqueda 'centro de distribución'","2026-07-28"
"Centro de Distribución El Peñón Walmart","sin dato","sin dato","sin dato","sin dato","https://www.walmartchile.cl/","https://www.instagram.com/walmart_chile","https://www.linkedin.com/company/walmartchile","San Bernardo",4.1,626,"Supermercado con bodega de distribucion propia (Walmart), corredor industrial San Bernardo, 626 reseñas. NOTA: el sitio expuso ~47 correos corporativos de Walmart, pero ninguno viene con cargo identificado como bodega/compras - se deja correo en sin dato para no asumir cual corresponde al decisor, vale la pena investigar manualmente","compass/crawler-google-places (Apify) - busqueda 'centro de distribución'","2026-07-28"
"L'Oreal Chile, Entrada Principal","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","San Bernardo",4.3,118,"Bodega/centro de distribucion de empresa real (L'Oreal) en zona industrial Chena, San Bernardo, RM, 118 reseñas","compass/crawler-google-places (Apify) - busqueda 'centro de distribución'","2026-07-28"
"Bodega Ripley Redex","sin dato","sin dato","+56 9 3267 8708","sin dato","sin dato","sin dato","sin dato","San Bernardo",4,410,"Bodega de retail (Ripley) en San Bernardo, RM, 410 reseñas confirman operacion activa a gran escala","compass/crawler-google-places (Apify) - busqueda 'centro de distribución'","2026-07-28"
"Bodegas Sodimac. Lo Espejo","sin dato","sin dato","+56 9 8272 0265","sin dato","sin dato","sin dato","sin dato","Cerrillos",4.1,621,"Bodega de retail (Sodimac/Falabella) en Cerrillos, RM, 621 reseñas","compass/crawler-google-places (Apify) - busqueda 'centro de distribución'","2026-07-28"
"Centro de Distribución Ripley Simpson","sin dato","sin dato","sin dato","sin dato","http://www.ripley.cl/","sin dato","sin dato","San Bernardo",4,210,"Segunda bodega de retail Ripley en San Bernardo, RM, 210 reseñas","compass/crawler-google-places (Apify) - busqueda 'centro de distribución'","2026-07-28"
"Centro Logístico Samsung","sin dato","sin dato","sin dato","contact.sds@samsung.com","http://www.samsungsds.com/","https://www.instagram.com/samsung.sds","https://www.linkedin.com/company/samsung-sds","Pudahuel",4.3,150,"Centro logistico de multinacional (Samsung SDS) en Pudahuel, RM, 150 reseñas","compass/crawler-google-places (Apify) - busqueda 'centro de distribución'","2026-07-28"
"Sondagua Centro de distribución San Bernardo","sin dato","sin dato","+56 2 2799 7520","agua@sondagua.cl","http://www.sondagua.cl/","sin dato","sin dato","San Bernardo",4.8,16,"Empresa de distribucion (agua/bebestibles) con centro propio en San Bernardo, RM, rating y reseñas cumplen","compass/crawler-google-places (Apify) - busqueda 'centro de distribución'","2026-07-28"
